9.0 40.2

20 120.0 4000
4	174	0.427
5	379	0.517
6	686	0.583
7	1108	0.619
8	1667	0.639
9	2378	0.650
10	3139	0.613
11	3677	0.505
12	3888	0.386
13	3968	0.296
14	3994	0.232
15	3999	0.185
16	4000	0.150
17	4000	0.124
18	4000	0.104
19	4000	0.088
20	4000	0.075
21	4000	0.064
22	4000	0.056
23	4000	0.049

29
222.326	2660.725
222.430	2662.198
221.970	2661.520
221.075	2661.954
220.631	2662.339
221.950	2660.123
221.505	2660.507
221.061	2660.892
220.615	2661.277
220.171	2661.662
219.725	2662.046
221.490	2659.445
221.045	2659.829
220.600	2660.215
220.155	2660.599
219.710	2660.984
219.266	2661.368
218.821	2661.753
221.030	2658.768
220.585	2659.152
220.140	2659.536
219.696	2659.921
219.250	2660.305
218.361	2661.074
218.806	2660.690
219.680	2658.857
219.235	2659.242
218.791	2659.626
218.345	2660.012
